"","Astrakhan","Thailand","Southern China","Northern China","Indonesia","Japan","Mongolia","Novosibirsk","Qinghai","Vietnam"
"Astrakhan",0,6061.35759659301,6421.80351423033,6358.98177502975,8246.90795733485,7224.53447660363,4181.31387722295,2612.50581120328,4161.63629485476,6613.73938678117
"Thailand",6061.35759659301,0,2298.36103798535,3030.40667594971,2480.03890527208,4506.04989114126,3683.84086882142,4823.94898470315,2470.08813952265,977.735071527074
"Southern China",6421.80351423033,2298.36103798535,0,1719.90272162497,3151.94100106544,3143.56206371388,2866.87959372636,4449.24176907462,2287.92069580188,1703.59476527839
"Northern China",6358.98177502975,3030.40667594971,1719.90272162497,0,4284.38224394623,2267.24420077275,2299.95702490507,4015.10061065321,2375.75867873713,2721.18289325321
"Indonesia",8246.90795733485,2480.03890527208,3151.94100106544,4284.38224394623,0,4808.24014692869,5370.16202663536,6800.63967398014,4434.15492624646,1756.03724266809
"Japan",7224.53447660363,4506.04989114126,3143.56206371388,2267.24420077275,4808.24014692869,0,3074.89596055035,4641.25221379752,3744.52013060166,3863.62837870531
"Mongolia",4181.31387722295,3683.84086882142,2866.87959372636,2299.95702490507,5370.16202663536,3074.89596055035,0,1716.73922180135,1381.44815330767,3660.56323473623
"Novosibirsk",2612.50581120328,4823.94898470315,4449.24176907462,4015.10061065321,6800.63967398014,4641.25221379752,1716.73922180135,0,2377.25997921843,5044.80165092347
"Qinghai",4161.63629485476,2470.08813952265,2287.92069580188,2375.75867873713,4434.15492624646,3744.52013060166,1381.44815330767,2377.25997921843,0,2679.61431335146
"Vietnam",6613.73938678117,977.735071527074,1703.59476527839,2721.18289325321,1756.03724266809,3863.62837870531,3660.56323473623,5044.80165092347,2679.61431335146,0
