"","Astrakhan","Bangkok","Fujian","Guangdong","Guangxi","Hebei","Henan","Hong Kong","Hunan","Indonesia","Japan","Kamphaeng Phet","Mongolia","Nakon Sawan","Novosibirsk","Phitsanulok","Qinghai","Shanghai","Uthai Than","Vietnam"
"Astrakhan",0,6061.35759659301,6419.68669182599,6323.19162713145,5916.80942250575,5440.18734560204,5547.52603705938,6421.80351423033,5873.88320071735,8246.90795733485,7224.53447660363,5768.71302536055,4181.31387722295,5876.32598318331,2612.50581120328,5796.34693243726,4161.63629485476,6358.98177502975,5894.14167086293,6613.73938678117
"Bangkok",6061.35759659301,0,2298.36103798535,1757.03174655401,1407.82421670717,3030.40667594971,2619.109552938,1727.26936462697,1935.72427374657,2186.03783139072,4506.04989114126,319.508444029225,3683.84086882142,218.14153562408,4823.94898470315,340.069700080593,2470.08813952265,2887.77356702492,187.237543208005,840.972221421476
"Fujian",6419.68669182599,2298.36103798535,0,543.029599325381,968.76056264625,1296.92606255757,969.015338116841,595.426946064787,615.064533564227,3048.15151481989,2207.69771009703,2201.21538502968,2578.87327806189,2197.9638194213,4249.47411418458,2114.40380144503,2287.92069580188,629.711405550472,2226.64826304032,1703.59476527839
"Guangdong",6323.19162713145,1757.03174655401,543.029599325381,0,507.398539489747,1613.07380398102,1209.93112733145,114.467724648095,507.923857268352,2673.84257252388,2749.54090782127,1673.47627387332,2752.46417802368,1663.75645058663,4336.40452366598,1586.02521713062,2163.47158726306,1156.54218938016,1691.33812982141,1182.45647928557
"Guangxi",5916.80942250575,1407.82421670717,968.76056264625,507.398539489747,0,1674.83402251785,1252.58706712334,562.834770831817,529.495855879079,2767.91399322314,3143.56206371388,1258.42376883574,2605.16444171321,1271.83070320808,4076.82539374887,1174.24280705205,1789.5525498746,1501.12112225053,1303.79341683935,1071.45925898135
"Hebei",5440.18734560204,3030.40667594971,1296.92606255757,1613.07380398102,1674.83402251785,0,422.846545250346,1719.90272162497,1174.03592655027,4284.38224394623,2079.94644322471,2810.98959357619,1346.96493702958,2857.03078712893,3061.65596526421,2739.76534789409,1664.6220374774,953.445967186738,2892.24496355891,2721.18289325321
"Henan",5547.52603705938,2619.109552938,969.015338116841,1209.93112733145,1252.58706712334,422.846545250346,0,1320.09293964087,753.162872592289,3883.55916904344,2267.24420077275,2410.21496019947,1609.93805665507,2451.31284063173,3288.42983015891,2336.40962321386,1555.66048633851,830.327997278061,2486.18806153831,2299.34937809278
"Hong Kong",6421.80351423033,1727.26936462697,595.426946064787,114.467724648095,562.834770831817,1719.90272162497,1320.09293964087,0,622.205436796466,2565.05298815209,2788.00763584901,1664.53533354088,2866.87959372636,1647.36760878935,4449.24176907462,1576.85490906722,2264.59932898775,1221.50895896644,1673.31703860767,1109.66457489361
"Hunan",5873.88320071735,1935.72427374657,615.064533564227,507.923857268352,529.495855879079,1174.03592655027,753.162872592289,622.205436796466,0,3151.94100106544,2661.06362303369,1770.54837259092,2247.25303337902,1792.30054024266,3831.75213847763,1688.91560456928,1716.06761912057,1014.60794912463,1825.21420600165,1547.33216485203
"Indonesia",8246.90795733485,2186.03783139072,3048.15151481989,2673.84257252388,2767.91399322314,4284.38224394623,3883.55916904344,2565.05298815209,3151.94100106544,0,4808.24014692869,2480.03890527208,5370.16202663536,2371.97466583558,6800.63967398014,2457.83100372872,4434.15492624646,3632.59376892554,2353.23185834563,1756.03724266809
